POP,CXPB,MUTPB,MUTATION RATE,BEST_MODULARITY,BEST_GEN
60,0.8,0.5,0.08,0.3772189349,607
50,0.7,0.4,0.05,0.3771367521,674
50,0.7,0.4,0.05,0.3771367521,414
50,0.7,0.4,0.05,0.3771367521,501
50,0.8,0.4,0.05,0.3771367521,504
50,0.8,0.5,0.08,0.3771367521,423
50,0.8,0.5,0.08,0.3771367521,605
50,0.8,0.5,0.08,0.3771367521,776
50,0.8,0.5,0.1,0.3771367521,869
40,0.8,0.5,0.08,0.3771367521,340
40,0.8,0.5,0.08,0.3771367521,810
40,0.8,0.5,0.08,0.3771367521,621
40,0.8,0.5,0.08,0.3771367521,704
60,0.8,0.5,0.08,0.3771367521,279
50,0.7,0.4,0.05,0.3769723866,938
50,0.8,0.4,0.05,0.3759861933,297
50,0.7,0.4,0.05,0.3759040105,831
50,0.7,0.4,0.05,0.3758218277,474
50,0.7,0.4,0.05,0.3752465483,287
50,0.8,0.5,0.08,0.3751643655,486
50,0.8,0.4,0.05,0.375,539
40,0.8,0.5,0.08,0.375,382
50,0.7,0.4,0.05,0.3749178172,702
50,0.7,0.4,0.05,0.3746712689,572
50,0.8,0.5,0.02,0.3746712689,503
40,0.8,0.5,0.08,0.3746712689,508
60,0.8,0.5,0.08,0.3746712689,337
60,0.8,0.5,0.08,0.3744247206,465
60,0.8,0.5,0.08,0.3744247206,640
50,0.8,0.5,0.08,0.3726166995,635
50,0.8,0.5,0.02,0.372452334,430
50,0.8,0.5,0.1,0.372452334,509
50,0.8,0.5,0.1,0.372452334,259
40,0.8,0.5,0.08,0.372452334,751
40,0.8,0.5,0.08,0.3723701512,499
40,0.8,0.5,0.08,0.3722057857,413
50,0.8,0.4,0.05,0.3719592373,284
50,0.7,0.4,0.05,0.371712689,437
50,0.8,0.4,0.05,0.371712689,150
50,0.8,0.5,0.02,0.371712689,449
50,0.8,0.5,0.08,0.371712689,465
50,0.8,0.4,0.05,0.3716305062,258
50,0.8,0.5,0.08,0.3708908613,245
50,0.8,0.4,0.05,0.3707264957,288
50,0.8,0.4,0.05,0.3707264957,477
50,0.7,0.4,0.05,0.3707264957,654
50,0.8,0.4,0.05,0.3707264957,571
50,0.8,0.4,0.05,0.3707264957,545
50,0.7,0.4,0.05,0.3707264957,244
50,0.8,0.5,0.02,0.3707264957,647
50,0.8,0.5,0.08,0.3707264957,313
50,0.8,0.5,0.1,0.3707264957,700
40,0.8,0.5,0.08,0.3707264957,483
50,0.7,0.4,0.05,0.370644313,384
50,0.8,0.5,0.1,0.3703977646,154
50,0.7,0.4,0.05,0.3702333991,241
50,0.7,0.4,0.05,0.369904668,286
40,0.8,0.5,0.08,0.369904668,289
60,0.8,0.5,0.08,0.369904668,545
50,0.8,0.4,0.05,0.3697403024,509
50,0.7,0.4,0.05,0.3697403024,1318
50,0.8,0.5,0.02,0.3697403024,662
50,0.8,0.5,0.02,0.3697403024,868
50,0.8,0.5,0.08,0.3697403024,482
50,0.8,0.5,0.08,0.3697403024,280
50,0.8,0.5,0.1,0.3697403024,547
50,0.8,0.5,0.1,0.3697403024,432
60,0.8,0.5,0.08,0.3697403024,238
50,0.8,0.4,0.05,0.3694115713,329
50,0.8,0.5,0.02,0.3692472058,734
50,0.8,0.5,0.08,0.3692472058,454
50,0.8,0.5,0.08,0.3692472058,282
40,0.8,0.5,0.08,0.3689184747,672
50,0.8,0.4,0.05,0.3688362919,693
50,0.8,0.5,0.08,0.3688362919,359
50,0.7,0.4,0.05,0.3688362919,526
50,0.8,0.4,0.05,0.3688362919,305
50,0.8,0.4,0.05,0.3687541091,322
50,0.7,0.4,0.05,0.3687541091,817
50,0.7,0.4,0.05,0.3687541091,693
50,0.8,0.5,0.02,0.3687541091,517
60,0.8,0.5,0.08,0.3686719264,309
50,0.8,0.4,0.05,0.3685897436,523
50,0.8,0.4,0.05,0.3685897436,471
50,0.8,0.5,0.08,0.3685897436,564
60,0.8,0.5,0.08,0.3685075608,345
50,0.7,0.4,0.05,0.3680966469,174
50,0.8,0.4,0.05,0.3680966469,484
50,0.8,0.4,0.05,0.3679322814,334
50,0.8,0.4,0.05,0.3677679158,283
50,0.8,0.5,0.08,0.3677679158,1152
40,0.8,0.5,0.08,0.3677679158,735
50,0.8,0.4,0.05,0.3676857331,192
50,0.8,0.5,0.1,0.3676035503,246
60,0.8,0.5,0.08,0.3672748192,599
60,0.8,0.5,0.08,0.3667817226,604
50,0.8,0.4,0.05,0.3666995398,384
60,0.8,0.5,0.08,0.3660420776,323
50,0.8,0.5,0.02,0.3656311637,433
50,0.7,0.4,0.05,0.3655489809,463
50,0.8,0.5,0.08,0.3655489809,766
50,0.7,0.4,0.05,0.3653024326,204
50,0.8,0.4,0.05,0.3653024326,443
50,0.8,0.5,0.02,0.3653024326,401
50,0.8,0.5,0.1,0.3653024326,526
40,0.8,0.5,0.08,0.3653024326,735
60,0.8,0.5,0.08,0.3653024326,718
50,0.8,0.5,0.02,0.3651380671,284
50,0.8,0.5,0.02,0.3644806049,500
50,0.8,0.5,0.08,0.3644806049,517
60,0.8,0.5,0.08,0.3644806049,240
50,0.8,0.5,0.08,0.3643162393,393
50,0.8,0.5,0.08,0.3643162393,389
40,0.8,0.5,0.08,0.3643162393,858
60,0.8,0.5,0.08,0.364069691,437
50,0.8,0.5,0.08,0.363330046,586
50,0.7,0.4,0.05,0.3630834977,608
50,0.8,0.5,0.02,0.3627547666,1033
